사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-21,2호선,18,왕십리(성동구청),874,2,6955,837,9989,5418,25284,12493,43964,26959,26985,17432,17938,13460,18453,13426,20015,16111,20986,16983,20633,17282,22655,18201,28445,21875,32917,30741,35785,50912,21457,30974,19821,17022,26754,15214,28512,19954,4941,8312,11,78,0,0,0,0,0,0
Jun-21,2호선,19,한양대,10,3,976,230,2194,5599,4958,12003,8237,37892,6480,33641,6244,20031,8340,12237,9617,15402,11031,15664,12347,12803,14208,8989,19883,7981,30475,9074,27398,9915,13176,6024,10124,4242,10249,4434,9117,5339,3269,2364,1,4,1,0,0,0,0,0
Jun-21,2호선,20,뚝섬,25,11,3481,2219,7841,14766,18702,37548,25566,141284,17966,87408,14073,38360,15173,27280,18985,29331,20845,32608,24905,28097,30042,28451,38231,29465,64022,32693,125164,43486,61137,24961,38540,12909,38004,11243,29495,13263,4086,5431,4,60,0,0,0,0,0,0
Jun-21,2호선,21,성수,67,0,5404,3807,9234,27616,22648,73962,29800,269072,22575,143068,19827,48317,20914,37558,24384,38283,29681,43934,33835,40751,40333,40805,51988,41510,103029,45345,227994,56132,95913,33187,55590,16273,61467,12978,46179,14950,5474,8790,5,2237,0,0,0,0,0,0
Jun-21,2호선,22,건대입구,176,7,14205,2139,20389,19701,52326,26069,88094,61058,58146,47220,33837,36298,31591,37929,36562,46292,39017,52863,39510,53815,44476,59182,54230,70290,66175,97732,79285,144916,56745,94289,57426,49337,82927,45034,81501,50847,11703,22174,15,2442,0,0,0,0,0,0
Jun-21,2호선,23,구의(광진구청),50,1,13662,1149,25627,9640,66711,15389,111827,39614,62341,22182,32099,18572,26917,18261,27514,20806,26932,23563,24838,24857,24733,31703,29724,36047,32580,51142,41165,90738,20148,64759,15673,40868,16519,38952,15886,44587,4342,16515,6,1038,0,0,0,0,0,0
Jun-21,2호선,24,강변(동서울터미널),18,0,8295,2136,27343,21465,77995,24424,106012,46063,72448,36699,50860,34309,45540,31714,45801,35111,43734,39567,39557,40686,42320,47913,44565,54097,51506,71481,58456,108021,41062,74801,30584,47900,26850,40695,20304,48963,5206,14835,4,403,1,0,0,0,0,0
Jun-21,2호선,25,잠실나루,9,0,3088,1655,11574,10219,37939,23527,44852,37995,26790,23440,20747,17198,19769,14766,19837,18325,18438,18656,19842,16738,21852,16711,26908,17285,32800,22959,29963,38521,13809,28103,10284,16232,8099,16778,6735,18959,1718,6679,1,72,0,1,0,0,0,0
Jun-21,2호선,26,잠실(송파구청),80,19,11325,4508,45211,39865,109926,71117,153802,155436,107993,129538,68886,87169,68066,85117,74625,85336,80754,90931,83745,89044,93395,94790,114324,107391,156035,139584,196396,205060,121617,136104,119825,80748,105519,78006,90586,90081,15197,29413,13,289,0,0,1,0,0,0
Jun-21,2호선,27,잠실새내,12,0,4403,791,15911,9133,52908,16063,69655,26529,40827,28413,26237,21522,23997,22499,25998,25259,27042,27949,25136,29041,26715,34909,33312,38633,33310,52416,36977,80509,26817,53682,24994,28671,28050,25367,30158,29960,5624,10336,8,678,0,0,0,0,0,0
