사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-21,3호선,78,압구정,38,2,2868,1947,8027,22447,15287,45846,22705,136321,18159,158426,21782,71472,28109,53866,33028,46377,36606,50866,42943,45189,52092,40996,63631,42203,87913,49466,132800,55607,93897,29386,72674,13929,59193,10872,45723,11372,6006,3931,9,924,0,0,1,1,0,0
Jun-21,3호선,79,신사,26,1,2710,1552,5423,20778,9945,43962,17340,114805,13786,134907,16558,66632,22034,45330,25489,44390,29624,48901,36797,45584,45107,42725,56248,44139,85384,50416,134142,68505,89182,33318,58982,12655,77506,9537,67993,9820,6608,3982,0,145,0,0,0,0,0,0
Jun-21,3호선,80,잠원,0,0,1084,502,4634,4704,11793,7533,15300,10733,9501,6616,6534,4637,6044,5122,6550,5482,7041,6412,6457,5720,6982,6424,8263,7137,10427,9714,9447,14217,6089,10229,4478,5986,4548,6076,3844,7862,721,2375,1,14,0,1,0,0,0,0
Jun-21,3호선,81,고속터미널,126,0,4576,3108,6631,29398,24162,43213,39277,67635,42361,86598,42955,76773,52326,83203,64774,77685,69888,79707,79378,80438,86982,83251,98372,81611,113070,87740,120279,101120,96155,62898,108488,37705,69591,29538,46119,24404,12306,8791,7,266,0,0,0,0,0,0
Jun-21,3호선,82,교대(법원.검찰청),8,0,1231,634,3203,6759,7468,20177,12081,49033,9620,33501,10390,14755,13407,9929,14525,9656,17728,10282,19659,9194,20923,8856,24431,9433,39136,11947,65346,16388,26061,8558,20653,3930,24827,3397,26415,4031,2523,1710,0,15,0,0,0,0,0,0
Jun-21,3호선,83,남부터미널(예술의전당),18,1,2639,1376,8365,23465,26512,57743,38491,157354,30612,82361,28284,47306,32662,35821,36076,36232,38290,41133,38150,41337,43314,39897,52711,40635,87498,46155,136540,55159,60054,35946,40380,21046,38593,16709,29892,15521,4719,6797,4,68,0,0,0,0,0,0
Jun-21,3호선,84,양재(서초구청),34,1,5336,2677,13568,41082,34852,107380,44349,245673,31897,123266,28935,52522,31809,41811,34853,38288,39330,43883,42478,37938,50689,38718,65331,41137,120383,53212,203360,72407,86308,47470,56700,27863,56458,25367,43243,26314,4871,10172,1,843,0,0,0,0,0,0
Jun-21,3호선,85,매봉,7,1,1556,517,6741,9013,16412,23242,19668,69143,13328,40561,10850,14040,10959,12036,11504,11273,12818,11740,14272,10475,16043,11231,19252,12013,35487,16342,65933,22573,22667,14976,14121,8573,16477,7401,11520,8873,1622,3386,4,306,0,0,0,0,0,0
Jun-21,3호선,86,도곡,26,3,1054,365,3847,4707,8900,14122,10871,22123,6975,15022,5369,6983,5588,6057,5942,6181,6363,6744,7004,5990,8555,6219,11184,6170,16068,7475,17662,10401,9191,8671,5799,4595,5248,4336,4714,5241,761,1680,3,888,0,0,0,0,0,0
Jun-21,3호선,87,대치,8,0,2481,729,10788,7892,23835,18864,22526,25552,13091,16957,10639,12364,10631,11211,12852,13594,13094,16677,13053,15711,15859,18507,17106,20579,23560,24607,26760,26815,17064,21263,12466,11068,15903,10328,27639,11399,2367,4551,1,23,0,1,0,0,0,0
Jun-21,3호선,88,학여울,3,0,604,289,1792,1671,3834,3413,4017,7405,2412,5167,2111,3843,2423,2653,3322,2962,3090,3468,3276,3311,4186,3315,4777,2719,5381,3108,6885,4087,2790,3111,1722,1942,1570,1777,1145,2190,184,863,0,3,0,0,0,0,0,0
Jun-21,3호선,89,대청,99,0,3503,1095,10292,7091,26215,15424,30006,26621,16408,11093,12417,7461,11723,7472,11422,8703,12175,9466,12792,9756,18946,12479,18163,13245,21348,16644,25893,24670,10226,21014,7080,13316,5975,12032,4686,15389,1045,5804,0,67,0,0,0,0,0,0
Jun-21,3호선,90,일원,1,0,2199,1485,8290,10179,22030,29645,20691,26488,14518,17447,14127,15176,14839,10960,14437,12577,13218,14402,14871,12073,20161,11876,25695,10189,32588,12657,16842,17858,8901,15261,5719,9798,3886,9329,3323,11137,930,3789,0,49,0,1,0,0,0,0
Jun-21,3호선,91,수서,263,7,4574,2139,12377,16166,33590,34164,41524,52367,26435,30952,24642,21538,20564,16761,26364,21215,23423,20327,19526,20504,28400,24222,35533,26163,40883,32517,49782,46185,22662,34378,21453,22128,14254,18843,13250,23059,3105,7237,2,597,0,1,0,0,0,0
Jun-21,3호선,92,가락시장,17,0,2376,557,6894,5714,19112,11864,21633,29922,15181,15353,12294,10799,12233,9973,11984,10543,12190,11162,11973,11350,12994,12719,14984,13937,19377,16084,28707,22213,11480,16174,8813,10442,8201,8726,6333,9362,956,3799,1,875,0,1,0,0,0,0
Jun-21,3호선,93,경찰병원,21,0,2424,167,7266,2898,21952,8480,24585,30240,13777,13079,9942,8352,8944,6430,8218,7223,8888,8588,8833,7543,9363,8179,9270,8802,14572,12742,20697,20331,6583,15703,5121,9841,5042,7835,3488,8537,472,3716,0,724,0,0,0,0,0,0
Jun-21,3호선,94,오금,5,0,3856,5,7728,2367,25306,5494,28769,13070,14069,5482,8136,4318,6763,3990,7206,4864,7090,5415,5805,5008,5621,7291,7343,8463,9621,12301,11065,20015,4663,15212,3060,9463,2900,8387,2236,10692,399,4102,1,1085,0,0,0,0,0,0
Jun-21,4호선,100,수유(강북구청),79,2,20175,3189,46364,12476,112544,20284,125803,55754,73327,35887,49660,29079,44519,29079,45599,32699,44637,36311,41859,38917,41976,47323,47604,59013,52766,75523,57381,120945,32944,107258,25718,61064,24877,53950,21941,53867,5303,30549,4,93,0,2,0,0,0,0
Jun-21,4호선,101,미아(서울사이버대학),53,7,10755,1378,20781,4893,48241,13112,54460,30129,31893,16950,22139,14404,19388,14347,20675,14676,19847,16254,18722,17242,19402,21942,21774,25552,22559,30492,25592,46614,14975,38876,9590,23111,8085,21271,6154,20835,1574,11807,4,2,0,0,0,0,0,0
Jun-21,4호선,102,미아사거리,57,0,15244,2083,36872,8479,94224,19108,105396,33524,57993,31052,39323,27185,35414,26908,36045,29372,35874,31665,34624,34179,37824,42632,43090,48636,40528,63740,41750,102007,28996,80500,28234,45549,18485,39700,14983,38376,3324,19289,1,0,0,0,0,0,0,0
Jun-21,4호선,103,길음,10,1,9665,1984,29645,8330,81216,12879,85758,27010,44040,19353,28142,15982,23774,16642,25625,18924,24360,20889,22141,21353,22664,25637,26027,32097,29720,44325,27634,74042,16399,59578,12658,34070,10197,30987,10709,34845,2448,15214,0,0,0,0,0,0,0,0
Jun-21,4호선,104,성신여대입구(돈암),35,1,5823,1617,17876,6147,45489,16221,55001,32901,33165,24931,24720,20583,23410,20602,26635,23291,26962,25506,26602,25368,28699,27910,33246,32319,37061,43039,42049,63742,26151,48341,23329,27585,27719,25153,25813,28461,4683,13281,1,5,0,0,0,0,0,0
Jun-21,4호선,105,한성대입구(삼선교),136,17,7057,1097,12658,7101,30770,18881,38406,28897,24181,22666,17784,16353,17219,15342,19408,16945,19296,17468,18972,16938,20639,18875,29083,21441,28896,27069,29669,37119,16262,29035,13405,17322,13788,16221,11254,19463,2497,8562,1,3291,0,0,0,0,0,0
Jun-21,4호선,106,혜화,38,1,2928,2734,6865,22307,17134,49235,21251,116224,23243,76705,28911,51066,32688,43262,33567,53808,35215,67110,43526,61064,59875,47605,68509,45160,90508,51219,107460,63071,54875,43309,52917,16234,78538,15967,70940,17222,10393,7893,2,362,0,0,0,0,0,0
Jun-21,4호선,107,동대문,191,19,5780,3227,3112,14788,5309,37508,7332,80531,12186,67165,18019,56163,25475,49521,30640,39832,33706,38337,41287,37396,48437,30369,56456,22783,85792,16281,68315,12191,29568,14210,20238,9784,23997,6261,13944,5096,3614,5147,3,70,0,0,0,0,0,0
Jun-21,4호선,108,동대문역사문화공원(DDP),329,5,6792,1331,3932,12129,6226,26084,7970,68994,7380,37104,8608,23506,11883,21994,14892,19624,16510,19484,20662,18724,25306,15620,29738,13313,48734,14350,69713,16182,34354,22328,25291,10862,25832,7372,21253,6475,5579,4502,2,455,0,0,0,0,0,0
Jun-21,4호선,109,충무로,54,3,2692,2921,3982,18631,8475,54963,12092,174410,13089,95707,13463,45245,17227,35806,21942,31997,26722,32360,31474,27872,35529,24643,45416,24897,81875,28015,144554,31860,63583,18197,42029,8907,47266,8916,38779,9791,6444,4574,4,417,0,0,0,0,0,0
Jun-21,4호선,110,명동,10,0,611,850,2136,13660,3784,44464,5465,106323,6696,60066,8141,35117,13367,33268,17826,32845,22502,31778,27275,27085,32919,24883,41772,21967,57022,21646,102798,21727,44860,11735,35904,5440,31474,4132,18227,3421,2144,1403,1,169,2,3,0,0,0,0
Jun-21,4호선,111,회현(남대문시장),50,1,1721,750,2928,18333,4582,50112,7339,130385,8528,94248,13513,71378,23179,60834,32393,48430,39481,41953,46310,37446,54462,31183,69260,22440,90197,16407,114170,14527,42966,7799,39287,4211,18989,4975,12108,4274,2002,1818,2,296,1,1,0,0,0,0
Jun-21,4호선,112,서울역,151,5,3937,492,5067,10713,11341,31912,14146,78671,10206,37532,8390,18583,9607,16526,10812,19604,10856,19997,11128,18799,12027,20984,14712,22032,36111,25555,56555,27575,18030,19545,11503,13163,11952,12634,9900,13753,2115,4702,7,1278,1,0,0,0,0,0
Jun-21,4호선,113,숙대입구(갈월),18,4,2733,856,7530,7235,16690,22522,24917,51079,16804,27447,13290,14985,13611,14387,15806,14905,15788,15554,16150,15620,18684,15611,26636,18109,31829,23693,46717,31002,21929,20331,16454,12208,18363,11642,17172,12627,2657,4895,1,1,0,0,0,0,0,0
Jun-21,4호선,114,삼각지,4,0,727,299,2406,3382,6410,10731,10298,24491,5748,10119,4270,7072,4097,6749,5202,7026,5889,6710,5647,6359,6226,6318,7426,7056,13110,9801,22539,15130,8670,9632,6650,5287,8587,4627,7817,6091,1092,2161,2,171,0,1,0,0,0,0
Jun-21,4호선,115,신용산,5,0,1030,924,4097,10101,10993,31813,15822,89874,12490,62156,10743,26338,13641,20660,14845,19520,16742,21490,17771,19491,21462,19875,27524,20084,49483,23820,84723,29900,38133,18396,26470,9858,26050,8374,19986,8397,3800,2747,0,2,1,1,0,0,0,0
Jun-21,4호선,116,이촌(국립중앙박물관),30,0,1125,680,4805,6592,13121,14565,16723,26763,11407,16093,8117,11366,8080,11248,10444,12554,10164,14378,11045,12822,13523,12637,18966,12747,21328,14974,24503,20875,10015,14481,7812,8725,8112,7574,5741,8717,1030,3147,1,0,0,1,0,0,0,0
Jun-21,4호선,117,동작(현충원),25,0,554,318,1489,2964,5156,4415,6120,6791,4406,4980,4013,4396,4156,3478,3995,3460,3701,3698,3604,4079,4408,4291,4995,4541,6151,5546,6880,7220,3645,5551,3245,3661,3350,3127,2516,3333,753,1445,2,262,0,0,0,0,0,0
Jun-21,4호선,118,총신대입구(이수),84,2,6356,865,16275,9922,46330,17752,58662,42719,33746,32292,24630,23700,24018,23121,26003,24306,26739,26678,25140,28456,26418,31614,29094,36552,32773,49102,41892,73571,25318,47574,21728,26307,21735,22147,18873,24182,2334,10009,1,57,0,0,0,0,0,0
Jun-21,4호선,119,사당,122,30,10220,1013,23946,15350,66219,21568,84588,33193,59181,24876,35691,19642,30514,22389,31682,23407,31861,23140,29776,22939,28726,27267,31280,34833,37228,52450,43531,80291,27796,52642,24588,29935,31021,27562,28483,31966,4382,14203,11,1277,0,0,0,0,0,0
Jun-21,4호선,120,남태령,56,0,449,107,960,1642,2290,3813,2978,4690,2357,1635,1841,1212,1861,1100,1732,1159,1769,1206,2126,1356,1823,1385,2561,1468,3785,1690,3668,1838,1536,1454,1109,1057,647,1005,358,983,98,405,2,40,0,0,0,0,0,0
Jun-21,4호선,95,당고개,64,1,8454,31,21153,7138,55154,9225,52065,13383,29981,12248,20596,12465,17750,11192,17596,12785,17655,13212,15968,13790,15561,17087,16643,20576,17027,26337,16334,38117,11307,36060,6923,22800,5873,21147,4631,22799,1024,12135,4,129,0,0,0,0,0,0
Jun-21,4호선,96,상계,71,2,13527,205,36453,7594,88156,15904,77256,19094,39783,15363,27618,14877,23680,14372,24535,18163,23181,18567,20757,19489,20970,23825,25108,30279,23273,39673,22085,61841,14097,61518,10372,34856,10437,31397,11479,32963,2047,17819,1,44,0,0,0,0,0,0
Jun-21,4호선,97,노원,136,1,10760,433,24722,7097,54498,12927,55826,27372,31473,28277,24040,22940,22934,21110,25206,24478,24905,26814,24315,28132,25022,30775,28411,36581,29085,50323,31031,79470,21928,64151,24071,33421,24801,28907,24542,29909,3414,15100,9,2717,0,0,0,0,0,0
Jun-21,4호선,98,창동,1756,7,16309,3082,38367,12570,92944,19812,80625,38442,49707,30082,38727,26693,34975,27152,35850,30905,35591,33325,33073,36791,34300,41394,37829,49079,39912,59710,40094,92261,24287,80448,18538,45516,19203,39930,15871,40748,3979,20674,201,2758,0,1,0,0,0,0
Jun-21,4호선,99,쌍문,184,3,23482,1067,52546,9419,124624,15495,131679,28317,73212,19567,47333,18580,38476,20277,38728,24193,36243,25959,32248,29086,30645,36845,34261,45875,34570,62403,32766,101604,20670,100037,15036,55871,13011,50713,9578,51684,2917,28093,3,431,0,1,0,0,0,0
Jun-21,경부선,121,서울역,1,0,18,337,41,2282,9525,4027,15434,4506,9931,3138,8563,2346,9788,1405,10237,2279,9616,2081,6256,1974,10628,2338,11828,2864,12124,4786,13960,7316,13041,3471,6914,2211,10121,1786,7106,1705,2852,233,12,8,0,0,0,0,0,0
Jun-21,경부선,122,남영,66,0,2611,1232,4492,8571,11564,20745,16911,51291,10639,25965,8401,10780,8873,9315,9757,10031,9502,10039,10064,9993,12814,9790,19161,10960,23578,14318,43555,20453,16658,13956,11679,8316,12945,7831,10920,9279,1848,3921,6,139,0,0,0,0,0,0
Jun-21,경부선,123,용산,360,2,3164,4904,5425,29295,19257,67182,29254,138974,28208,94316,23449,68768,37739,52607,35440,53685,44361,56195,42542,52853,63279,52538,73334,50664,100446,55551,144338,61756,81458,44415,75204,27223,70413,21078,48547,15460,11931,4256,135,869,0,0,0,0,0,0
Jun-21,경부선,124,노량진,442,5,5068,1810,7395,5249,16919,10598,23424,17452,12703,11693,9741,8394,9777,8084,10952,9738,12005,10653,11492,9742,11481,11510,13370,13438,16917,21218,19098,35019,12324,20868,12733,12096,14847,11074,14208,11245,2346,5212,18,265,0,0,0,0,0,0
Jun-21,경부선,125,대방,469,12,6211,2253,10612,10732,29651,36957,38646,49620,20686,22471,14681,10946,13803,10445,14578,11576,14859,13599,14065,11985,16245,13029,18439,15498,30798,22085,46275,36368,16509,24290,12230,15766,11257,16026,9043,16940,1752,6650,34,552,0,0,0,0,0,0
Jun-21,경부선,126,영등포,4225,66,16687,6166,17079,21208,38932,57690,52417,120390,35090,85090,33494,64587,36523,63167,43815,62599,49411,66125,52611,62561,61832,63688,74158,64845,92790,77615,140977,105467,79014,65060,83242,32579,74494,25659,59129,25894,10052,10073,63,1918,0,0,0,0,0,0
Jun-21,경부선,127,신도림,560,0,2386,651,3669,2634,10448,7589,11311,16652,6757,6900,4536,5203,4196,4272,4521,4370,4356,5038,4446,4562,4800,5284,5552,5730,9170,9092,16130,13812,6032,8739,4783,4599,5671,4695,4463,4460,995,1793,23,918,0,0,0,0,0,0
Jun-21,경부선,151,신길,753,3,11204,1914,10957,6174,23725,16851,31525,28417,17481,11016,10706,6529,9501,6168,11309,6861,10004,7811,9403,7265,10197,8934,13396,10872,17753,15893,29301,22309,11602,16158,8380,10465,7612,11445,5579,12286,1417,5090,18,624,0,0,0,0,0,0
Jun-21,경부선,249,구로,10764,34,25212,5325,19128,13438,37232,33625,37265,83985,25697,41102,19768,25195,19369,20695,20165,20037,20750,21642,21702,20677,24051,22732,30088,25773,48352,36068,68989,43046,28201,30127,18909,18926,19133,19437,12851,18933,3094,12111,25,7624,0,0,0,0,0,0
Jun-21,경부선,250,가산디지털단지,1393,2,7750,1949,6871,12746,14627,55991,14599,162490,10744,79999,9280,22482,10137,15422,11762,14805,12707,15835,13809,14489,15272,14489,23005,16552,66118,21481,117512,28301,46341,20242,27520,11357,25639,11688,19085,11986,2782,5471,94,978,0,0,0,0,0,0
Jun-21,경부선,251,금천구청,775,5,11654,1678,19322,5370,46800,16879,44625,29805,24517,11692,16461,9252,14385,8916,14480,12009,13349,12414,12119,12502,12636,15517,14100,18551,17070,25893,25065,43397,11410,35480,8180,17647,7350,17486,5925,17285,1307,8797,31,407,0,0,0,0,0,0
Jun-21,경부선,252,석수,544,5,7970,3050,16612,7320,39167,12331,38245,18479,20804,11552,13102,8996,11096,6196,11590,7446,10789,7822,10086,7955,11975,10302,14303,12010,17341,17623,18649,31589,9704,26896,6464,14604,5623,15311,3992,14961,1198,6954,31,245,0,0,0,0,0,0
Jun-21,경부선,253,관악,184,1,7512,2168,13333,4512,32953,5621,30219,9992,15479,9108,9959,8556,8713,6142,9283,7181,8764,7091,8550,6558,8850,8195,10969,9812,11263,13795,10581,25869,6073,22796,4625,11901,4505,12024,2600,11825,871,6404,30,286,0,0,0,0,0,0
Jun-21,경부선,254,안양,255,9,14215,3163,30940,11297,81118,18325,72400,38023,38036,37019,27261,27890,27354,26852,31395,29618,30759,33509,30310,29001,34455,31707,40044,35553,43025,53209,37981,79191,23507,68140,22014,35509,24960,29318,21032,28096,3975,17000,134,902,0,0,0,0,0,0
Jun-21,경부선,255,명학,169,0,7034,2016,10574,8087,25616,25516,22543,54756,11214,12579,8346,7225,7839,5992,8266,6748,8307,7232,7911,6274,8423,6929,11612,8326,23983,11471,37040,19297,11610,17405,11374,9802,7659,9012,4811,9217,1165,5578,44,462,0,0,0,0,0,0
Jun-21,경부선,256,금정,403,5,23634,6725,34802,22666,82639,43366,82281,89797,47263,29168,30502,19288,27886,20198,28820,21848,27763,23485,24874,24960,26462,28967,35290,38075,54672,54116,76913,80777,32250,69893,24734,38525,23580,39949,17611,39079,4599,21691,119,2715,0,0,0,0,0,0
Jun-21,경부선,257,군포,67,0,5636,1985,8971,9368,18893,30993,17386,46684,9741,7411,6883,4506,6130,4376,6710,4934,6290,5506,6061,5274,6551,6114,8668,7279,21101,9949,36979,15038,12608,12495,10217,7823,6550,6878,3688,7080,981,3591,31,271,0,0,0,0,0,0
Jun-21,경부선,258,의왕,143,2,6714,1969,13055,8441,31092,26378,29102,26301,13052,9065,9998,6285,9635,6601,9825,7198,9624,8255,9527,7842,9356,9305,12245,12213,24714,17088,23832,28366,11362,20001,7440,14195,6425,12181,4343,12199,1279,6467,58,690,0,0,0,0,0,0
Jun-21,경부선,259,성균관대,160,6,8187,1577,26504,5386,66158,9305,51523,22015,23527,14544,17421,11103,15944,11333,17477,12430,16177,15477,15000,15070,15896,16205,19097,20568,23374,32128,22236,56876,12544,46489,10304,28670,10858,24508,10227,25227,2790,13486,93,1327,0,0,0,0,0,0
Jun-21,경부선,260,화서,459,3,7276,1706,20166,5578,39675,5472,28956,10080,12170,6110,8872,5033,8226,5242,7921,5352,7633,6795,6820,7307,7209,7856,9660,9192,10818,19164,9487,29963,5247,25360,4033,14599,3663,11836,3215,12130,997,6572,32,736,0,0,0,0,0,0
Jun-21,경부선,261,수원,1874,33,18115,6895,31692,27809,69551,47423,61400,68781,38632,62868,35324,53727,41397,54132,45730,62905,47561,60872,48916,60900,59211,60031,72885,69408,80866,84826,87136,108639,67444,81868,71052,46775,60855,36819,55239,35207,11190,20578,198,3464,0,0,0,0,0,0
Jun-21,경부선,262,독산,632,5,7743,3251,17155,13537,39700,42606,38500,100045,20297,45810,14945,15868,14412,11517,15834,13241,14833,13171,14749,11988,16236,14657,24547,16423,50774,23364,75172,38729,31509,32519,18127,17193,13237,19751,9047,18631,1908,8715,39,477,0,0,0,0,0,0
Jun-21,경부선,263,세류,470,3,3410,806,7173,3094,14331,4071,9698,4663,4615,2644,3795,2542,3600,2713,3387,2700,3331,2866,2813,2935,3394,3395,4231,4464,5444,6502,5345,10282,3261,8760,2656,5104,2261,5233,1319,4660,444,2549,10,553,0,0,0,0,0,0
Jun-21,경부선,264,병점,2791,21,7247,3667,24577,11235,49816,22478,37316,25928,22578,13257,18641,11423,19123,12878,19171,14134,17675,14949,16393,15512,19086,17161,23672,22873,30443,30874,32470,43536,16842,42408,12269,26330,11081,24184,9316,24140,2370,13780,23,4731,0,0,0,0,0,0
Jun-21,경부선,265,세마,202,1,1905,508,5389,1434,10045,3838,7409,7876,5139,2497,3684,1657,3430,2102,3392,2088,3367,2797,3021,2692,3022,2004,3858,3845,5166,5282,6958,7391,2843,7092,1881,4368,1811,4386,1194,4303,474,2202,28,153,0,0,0,0,0,0
Jun-21,경부선,266,오산대,250,1,2442,540,6088,2408,11165,4254,8073,9765,5335,3880,4007,4870,4011,4174,4602,3339,4996,4749,4795,3753,5430,3066,7137,4384,7084,6936,8380,10088,3910,7694,2836,4792,2850,5229,2266,4044,882,2545,47,130,0,0,0,0,0,0
Jun-21,경부선,267,오산,319,1,5682,1649,14117,9806,22482,25839,19809,21077,15532,12801,13590,9638,13574,9004,16187,11494,13556,12840,13080,11715,13990,13987,18168,16251,25363,20496,26869,25781,14546,21733,12223,16801,8855,13557,6197,11007,1803,6662,107,475,0,0,0,0,0,0
Jun-21,경부선,268,진위,31,0,637,251,1431,2503,2648,7104,2417,7695,1634,1340,1206,1061,1232,1070,1634,941,1397,1091,1413,1123,1866,1000,3089,1570,5990,1629,8798,2111,2802,2256,1964,1109,1192,1508,710,1529,215,554,6,47,0,0,0,0,0,0
Jun-21,경부선,269,송탄,73,1,5513,850,7453,2842,13071,5422,10111,7095,7462,4077,6649,3518,6829,3989,6307,4824,6412,4795,5765,5293,6154,6152,7879,6923,8145,9860,9248,10693,4967,11229,3778,7732,3229,7358,2200,8565,713,4075,41,532,0,0,0,0,0,0
Jun-21,경부선,270,서정리,40,0,3662,3992,8974,5799,13130,13085,11392,15710,8873,8711,8393,6710,9015,5957,10189,8311,9189,8581,9582,6732,10568,7872,14901,10758,21179,13353,17725,14000,8735,13225,7295,8794,5006,8097,2942,8620,948,5323,15,630,0,0,0,0,0,0
Jun-21,경부선,271,평택지제,9,0,1375,2985,3132,7775,7825,9765,5725,7154,3569,3283,2977,1824,3053,2545,4266,2944,2670,2620,3462,2736,4734,3285,5535,4005,10324,4628,9305,6673,5482,4899,3563,3822,3301,3315,2800,3383,934,2059,4,117,0,0,0,0,0,0
Jun-21,경부선,272,평택,135,3,6836,2819,13874,8379,25740,16218,22863,22710,19121,17402,18012,14528,17402,17777,18219,18178,18573,19111,18218,20316,19074,19916,23420,25253,29225,30424,26890,31587,19267,23755,18688,18455,14369,14399,11901,11891,4111,7836,42,1463,0,0,0,0,0,0
Jun-21,경부선,273,성환,43,1,1463,691,2986,2144,6128,10120,5233,12276,4492,6991,4889,4637,5363,4708,5941,6435,6725,5874,6816,4752,7794,4404,8367,5282,12779,6056,10339,6758,4357,5130,4024,4155,2677,4643,1122,3559,612,2617,63,677,0,0,0,0,0,0
Jun-21,경부선,274,직산,69,1,474,243,1190,960,1854,2088,1117,3228,1050,933,927,859,913,726,1002,854,932,898,880,789,1163,748,1133,1177,2437,1393,2837,1415,1068,1615,828,770,581,921,314,781,188,671,18,102,0,0,0,0,0,0
Jun-21,경부선,275,두정,1545,1,4923,653,8786,2517,13302,7263,11250,8419,7653,8946,7327,7075,7435,7424,7315,8859,8038,8283,7814,7309,8325,7685,9242,8618,12813,10883,12628,15493,6882,11928,5506,9542,4966,7906,3656,7406,1957,6883,30,2130,0,0,0,0,0,0
Jun-21,경부선,276,천안,1437,8,2757,609,5192,3143,8907,5080,7823,9112,8854,9384,7527,9170,9335,10219,8564,12100,9794,11783,10224,8905,12527,11526,13366,9459,12921,11573,11707,13474,8439,9757,6710,7396,4949,5142,2880,4215,1416,2682,12,1946,0,0,0,0,0,0
Jun-21,경부선,277,당정,13,1,3683,1067,10974,2962,26055,8954,22267,15358,11315,5335,8022,3828,7603,4152,7412,5026,6865,5559,6184,5670,6678,6262,7912,7892,10704,12500,13804,18527,5617,18304,4446,11385,3425,9896,3317,10772,930,5658,47,447,0,0,0,0,0,0
Jun-21,경부선,278,서동탄,2,0,1073,11,4651,728,10640,1956,4338,1731,2173,756,1782,731,1700,975,1489,1271,1294,1126,1287,1191,1589,1936,1725,1819,1839,3069,2529,4439,1053,5367,843,2891,549,1836,481,2582,150,1731,6,857,0,5,0,0,0,0
Jun-21,경부선,279,광명,0,0,14,1989,2900,4490,12683,5357,10139,4754,5204,3967,4645,2924,3514,2040,3803,5656,3403,95,3013,5637,6545,2802,3062,4299,7531,5054,7682,11485,7010,6952,2123,3336,4674,2848,2332,2823,460,1982,8,0,0,0,0,0,0,0
Jun-21,경인선,293,개봉,1373,5,18283,5611,36620,12547,91644,15864,84370,23589,48927,18499,32197,16312,28644,18100,28675,21162,26751,22982,23950,25237,22602,29555,27352,37330,29661,55491,29166,89611,16563,69546,13023,38337,11702,36483,9160,35392,2625,15835,29,1035,0,0,0,0,0,0
Jun-21,경인선,294,오류동,623,2,12672,2099,18689,4823,51949,6647,52508,12037,27455,11524,19236,9857,16495,9772,17968,11705,16267,12408,13910,13499,13632,15987,15124,19579,15023,26167,14180,44426,8047,37887,6522,21461,6054,20864,4643,20218,1413,9379,33,636,0,0,0,0,0,0
Jun-21,경인선,295,역곡,1046,8,28697,4596,45682,10337,120684,13275,116206,31257,59045,24729,38016,22086,33152,23596,33933,26792,32572,27796,28744,29654,28645,30512,32318,47178,38265,64678,33275,110106,19971,93568,17171,51302,16131,48224,13989,50102,3902,21915,52,1187,0,0,0,0,0,0
Jun-21,경인선,296,부천,2972,10,36462,5340,42744,12782,106041,19006,104646,44026,57454,40596,42187,34856,41867,37024,44815,42528,44209,44144,42472,46850,44443,47564,49228,58165,53536,80399,53874,120505,35820,101885,31102,51407,33585,47685,31284,45255,7360,25143,179,2550,0,0,0,0,0,0
Jun-21,경인선,297,송내,1642,12,16147,7855,37788,15363,109316,31414,86896,76462,45926,40883,33026,22838,32664,20783,32570,22997,30161,26263,28019,25607,29776,27248,36152,35950,42773,54094,71076,88470,30133,82609,20899,44241,19778,40082,17497,42269,4752,19905,371,1892,0,0,0,0,0,0
Jun-21,경인선,298,부평,7833,27,20270,5772,35671,11561,84453,19663,78661,34791,43429,39118,34897,33147,36213,38642,38985,44567,40724,50325,40243,50416,44410,53686,49819,65006,57776,82709,53368,126494,40183,92975,38891,48268,46506,39892,48096,40268,9091,21751,899,3566,0,1,0,0,0,0
Jun-21,경인선,299,백운,90,2,8091,2076,13939,4143,29071,4435,25716,9690,14342,6406,11236,5784,10486,6676,10551,8461,9390,8226,8174,8282,8166,10307,9733,12104,11661,16575,9047,23455,5033,22757,3916,13021,3810,11842,2508,11589,1037,6668,100,955,0,1,0,0,0,0
Jun-21,경인선,300,동암,569,9,19670,4656,28783,11071,55795,14216,50098,18109,29947,13502,21836,13013,20191,14939,20829,15363,19826,16400,17650,16913,17341,20835,20887,25875,25447,37465,23454,51205,13735,46133,11038,29403,10412,27155,8865,27551,2533,14481,148,1789,0,0,0,0,0,0
